times,_a,_b
1995-01-01 00:00:00,1.9168678e-07,3.9713625e-05
1995-01-01 03:00:00,1.8901233e-07,3.5828758e-05
1995-01-01 06:00:00,1.6744502e-07,3.21837e-05
1995-01-01 09:00:00,1.5218156e-07,3.2300373e-05
1995-01-01 12:00:00,1.9040147e-07,4.1735846e-05
1995-01-01 15:00:00,1.0232137e-06,6.0137318e-05
1995-01-01 18:00:00,5.1699993e-07,5.1511273e-05
1995-01-01 21:00:00,2.8555326e-07,5.0891365e-05
1995-01-02 00:00:00,5.838659e-07,6.6119894e-05
1995-01-02 03:00:00,6.8489805e-07,7.8023964e-05
1995-01-02 06:00:00,8.0641934e-07,6.22435e-05
1995-01-02 09:00:00,3.0655465e-07,5.8852875e-05
1995-01-02 12:00:00,7.373762e-07,5.952066e-05
1995-01-02 15:00:00,4.117103e-07,4.4144774e-05
1995-01-02 18:00:00,3.7632475e-07,4.324266e-05
1995-01-02 21:00:00,7.0477347e-07,6.2502266e-05
1995-01-03 00:00:00,5.994199e-07,6.505359e-05
1995-01-03 03:00:00,3.6249736e-07,5.7362686e-05
1995-01-03 06:00:00,2.130826e-07,3.8355283e-05
1995-01-03 09:00:00,1.5658837e-07,3.493769e-05
1995-01-03 12:00:00,2.661704e-07,4.3959823e-05
1995-01-03 15:00:00,3.1337083e-07,4.860718e-05
1995-01-03 18:00:00,4.205334e-07,4.59584e-05
1995-01-03 21:00:00,4.9606956e-07,4.9769795e-05
1995-01-04 00:00:00,3.110655e-07,4.3227752e-05
1995-01-04 03:00:00,6.061947e-07,4.6288587e-05
1995-01-04 06:00:00,4.0980845e-07,4.294038e-05
1995-01-04 09:00:00,1.6725176e-07,2.9295794e-05
1995-01-04 12:00:00,2.0193853e-07,4.065349e-05
1995-01-04 15:00:00,2.120555e-06,8.3676474e-05
1995-01-04 18:00:00,2.3583246e-07,4.480697e-05
1995-01-04 21:00:00,2.2327916e-07,3.863554e-05
1995-01-05 00:00:00,2.2698387e-07,3.95534e-05
1995-01-05 03:00:00,1.1061952e-06,8.0449674e-05
1995-01-05 06:00:00,2.7800144e-07,4.3754997e-05
1995-01-05 09:00:00,1.1248364e-06,5.20081e-05
1995-01-05 12:00:00,1.8034249e-06,6.24413e-05
1995-01-05 15:00:00,3.852326e-06,7.675508e-05
1995-01-05 18:00:00,6.842561e-07,4.224179e-05
1995-01-05 21:00:00,5.7386865e-06,0.00015343573
1995-01-06 00:00:00,1.0018628e-06,7.109801e-05
1995-01-06 03:00:00,6.8596194e-07,5.096473e-05
1995-01-06 06:00:00,2.078381e-07,3.4043092e-05
1995-01-06 09:00:00,1.5321329e-07,2.5532881e-05
1995-01-06 12:00:00,2.2934896e-07,3.113733e-05
1995-01-06 15:00:00,2.5390312e-07,3.3919703e-05
1995-01-06 18:00:00,2.385109e-07,3.1195308e-05
1995-01-06 21:00:00,2.527591e-07,2.9943752e-05
1995-01-07 00:00:00,2.2191807e-07,2.9265531e-05
1995-01-07 03:00:00,2.1186798e-07,2.5196096e-05
1995-01-07 06:00:00,1.864613e-07,2.4559718e-05
1995-01-07 09:00:00,1.0798979e-06,3.2008196e-05
1995-01-07 12:00:00,7.7970776e-07,3.050992e-05
1995-01-07 15:00:00,2.5697545e-06,7.0949245e-05
1995-01-07 18:00:00,1.9355734e-06,9.243368e-05
1995-01-07 21:00:00,4.5793223e-07,4.415962e-05
1995-01-08 00:00:00,5.470092e-07,5.1213905e-05
1995-01-08 03:00:00,2.5235218e-07,3.3057975e-05
1995-01-08 06:00:00,2.0877879e-07,2.4886405e-05
1995-01-08 09:00:00,5.6654704e-07,3.5721892e-05
1995-01-08 12:00:00,2.812458e-07,3.4383404e-05
1995-01-08 15:00:00,8.8805785e-07,5.561214e-05
1995-01-08 18:00:00,5.9791387e-07,4.1698353e-05
1995-01-08 21:00:00,3.4446572e-07,2.9263465e-05
1995-01-09 00:00:00,3.3976453e-06,6.7564426e-05
1995-01-09 03:00:00,2.145494e-07,2.787498e-05
1995-01-09 06:00:00,2.4506807e-07,2.7830334e-05
1995-01-09 09:00:00,1.7427465e-07,2.15943e-05
1995-01-09 12:00:00,1.1799945e-05,0.0002514455
1995-01-09 15:00:00,6.5960774e-07,5.707977e-05
1995-01-09 18:00:00,2.3705977e-07,3.6481353e-05
1995-01-09 21:00:00,2.3071615e-07,3.1143347e-05
1995-01-10 00:00:00,1.95267e-07,2.5720026e-05
1995-01-10 03:00:00,2.5092754e-07,2.5875059e-05
1995-01-10 06:00:00,2.0617537e-07,2.4325132e-05
1995-01-10 09:00:00,3.8361213e-07,2.5359686e-05
1995-01-10 12:00:00,1.946209e-07,2.276387e-05
1995-01-10 15:00:00,2.253125e-07,2.2859158e-05
1995-01-10 18:00:00,2.3598166e-07,2.5670644e-05
1995-01-10 21:00:00,2.1597205e-07,2.3943192e-05
1995-01-11 00:00:00,2.3345473e-07,2.7895348e-05
1995-01-11 03:00:00,2.3127748e-07,2.6134963e-05
1995-01-11 06:00:00,1.9476148e-07,2.2934682e-05
1995-01-11 09:00:00,3.007056e-07,2.2755237e-05
1995-01-11 12:00:00,2.2356592e-07,2.2688459e-05
1995-01-11 15:00:00,2.3907725e-07,2.4315665e-05
1995-01-11 18:00:00,2.2595512e-07,2.3297078e-05
1995-01-11 21:00:00,2.4116247e-07,2.8800863e-05
1995-01-12 00:00:00,3.4841753e-07,3.306311e-05
1995-01-12 03:00:00,3.0105502e-07,3.672208e-05
1995-01-12 06:00:00,6.007035e-07,5.1311727e-05
1995-01-12 09:00:00,5.2974696e-07,4.496533e-05
1995-01-12 12:00:00,2.0705028e-07,2.305676e-05
1995-01-12 15:00:00,3.9350508e-07,2.4360786e-05
1995-01-12 18:00:00,5.10727e-07,2.3669058e-05
1995-01-12 21:00:00,2.6238573e-07,2.6221256e-05
1995-01-13 00:00:00,2.3053616e-07,2.7694752e-05
1995-01-13 03:00:00,8.565734e-07,4.5718938e-05
1995-01-13 06:00:00,1.7231648e-06,2.8735478e-05
1995-01-13 09:00:00,2.1487228e-06,3.3945937e-05
1995-01-13 12:00:00,6.1154583e-07,3.7090103e-05
1995-01-13 15:00:00,1.3277859e-06,3.9840947e-05
1995-01-13 18:00:00,1.0140234e-06,4.003931e-05
1995-01-13 21:00:00,9.055028e-07,3.793672e-05
1995-01-14 00:00:00,1.6593933e-06,5.5624958e-05
1995-01-14 03:00:00,6.9707426e-07,3.8830214e-05
1995-01-14 06:00:00,7.1379526e-07,4.087037e-05
1995-01-14 09:00:00,8.465429e-07,3.1657335e-05
