times,_a_max,_b_max,_a_std,_b_std
1995-01-01 00:00:00,2.89328e-09,2.48954e-07,1.9592436e-10,1.44891175e-08
1995-01-01 03:00:00,2.29908e-09,2.69035e-07,1.6279636e-10,1.1746145e-08
1995-01-01 06:00:00,5.98302e-09,2.75102e-07,5.9699107e-10,7.637175e-08
1995-01-01 09:00:00,2.31984e-09,3.0558e-07,4.606159e-10,9.446e-08
1995-01-01 12:00:00,4.11455e-09,3.11478e-07,2.7555103e-10,2.7274929e-08
1995-01-01 15:00:00,1.70892e-08,4.52871e-07,3.7131385e-09,8.007655e-08
1995-01-01 18:00:00,9.09583e-09,4.0852e-07,2.0129136e-09,4.7333064e-08
1995-01-01 21:00:00,7.84302e-09,3.16887e-07,1.0257706e-09,1.6715893e-08
1995-01-02 00:00:00,2.61945e-08,7.96866e-07,4.7797206e-09,1.2761913e-07
1995-01-02 03:00:00,1.28209e-08,6.08254e-07,2.6118407e-09,7.276566e-08
1995-01-02 06:00:00,4.08387e-08,1.0134e-06,6.9063577e-09,2.1128533e-07
1995-01-02 09:00:00,8.5117e-09,5.85544e-07,1.8765431e-09,1.7633715e-07
1995-01-02 12:00:00,1.06714e-08,4.4226e-07,3.1157652e-09,4.842245e-08
1995-01-02 15:00:00,9.78756e-09,3.67905e-07,1.70118e-09,3.0835835e-08
1995-01-02 18:00:00,5.90616e-09,2.67844e-07,1.0414347e-09,1.4794898e-08
1995-01-02 21:00:00,1.13632e-08,4.97891e-07,2.5023497e-09,7.8729386e-08
1995-01-03 00:00:00,8.80889e-09,4.27787e-07,1.91919e-09,4.383788e-08
1995-01-03 03:00:00,8.40409e-09,4.35033e-07,1.5339089e-09,4.151188e-08
1995-01-03 06:00:00,3.8102e-09,2.99236e-07,7.6583057e-10,8.860207e-08
1995-01-03 09:00:00,4.04788e-09,2.80343e-07,5.016417e-10,9.52189e-08
1995-01-03 12:00:00,1.43991e-08,4.25616e-07,1.5861538e-09,3.7262748e-08
1995-01-03 15:00:00,6.54281e-09,3.70326e-07,1.1479444e-09,3.492933e-08
1995-01-03 18:00:00,6.30813e-09,3.51261e-07,1.3170465e-09,2.6208635e-08
1995-01-03 21:00:00,9.17269e-09,4.30501e-07,1.7346592e-09,5.7396544e-08
1995-01-04 00:00:00,7.99161e-09,3.31939e-07,1.2410503e-09,3.6175695e-08
1995-01-04 03:00:00,2.77919e-08,7.07118e-07,5.851726e-09,1.2181614e-07
1995-01-04 06:00:00,1.57057e-08,6.79257e-07,3.3118226e-09,1.6527042e-07
1995-01-04 09:00:00,4.44242e-09,2.94635e-07,6.4039535e-10,8.351525e-08
1995-01-04 12:00:00,3.90782e-09,3.09922e-07,3.3330777e-10,3.121705e-08
1995-01-04 15:00:00,8.96445e-08,1.26985e-06,1.9490939e-08,2.7950333e-07
1995-01-04 18:00:00,4.79683e-09,3.49994e-07,5.5990057e-10,4.178665e-08
1995-01-04 21:00:00,5.02228e-09,2.74734e-07,6.0247124e-10,1.5121914e-08
1995-01-05 00:00:00,4.40741e-09,3.25571e-07,5.608229e-10,2.8223758e-08
1995-01-05 03:00:00,2.61202e-08,7.22133e-07,6.096868e-09,1.0085841e-07
1995-01-05 06:00:00,7.43438e-09,3.48095e-07,1.38006e-09,9.867718e-08
1995-01-05 09:00:00,3.39598e-08,6.98343e-07,8.0940925e-09,1.8101949e-07
1995-01-05 12:00:00,7.21205e-08,9.81744e-07,1.525574e-08,1.8450118e-07
1995-01-05 15:00:00,4.44197e-07,3.11462e-06,6.268843e-08,5.5978813e-07
